state_name,report_date,Medicaid_Enrollment
Louisiana,03/01/2014,1019672
Maine,03/01/2014,N/A
Maryland,03/01/2014,1132227
Massachusetts,03/01/2014,1460442
Michigan,03/01/2014,2094739
Minnesota,03/01/2014,1020155
Mississippi,03/01/2014,675984
Missouri,03/01/2014,806639
Montana,03/01/2014,158026
Nebraska,03/01/2014,240825
Nevada,03/01/2014,469110
New Hampshire,03/01/2014,136196
New Jersey,03/01/2014,1435827
New Mexico,03/01/2014,635321
New York,03/01/2014,6003065
North Carolina,03/01/2014,1778939
North Dakota,03/01/2014,N/A
Ohio,03/01/2014,2498526
Oklahoma,03/01/2014,796440
Oregon,03/01/2014,954194
Pennsylvania,03/01/2014,2428688
Rhode Island,03/01/2014,251470
South Carolina,03/01/2014,826936
South Dakota,03/01/2014,116248
Tennessee,03/01/2014,1319472
Texas,03/01/2014,4480564
Utah,03/01/2014,334985
Vermont,03/01/2014,174587
Virginia,03/01/2014,1070246
Washington,03/01/2014,1491833
West Virginia,03/01/2014,508496
Wisconsin,03/01/2014,1174176
Wyoming,03/01/2014,68279
United States,04/01/2014,64430235
Alabama,04/01/2014,765286
Alaska,04/01/2014,123212
Arizona,04/01/2014,1345403
Arkansas,04/01/2014,763966
California,04/01/2014,10600000
Colorado,04/01/2014,1058167
Connecticut,04/01/2014,N/A
Delaware,04/01/2014,234105
District of Columbia,04/01/2014,245021
Florida,04/01/2014,3315147
Georgia,04/01/2014,1605459
Hawaii,04/01/2014,314368
Idaho,04/01/2014,273515
Illinois,04/01/2014,3218065
Indiana,04/01/2014,1154736
Iowa,04/01/2014,583819
Kansas,04/01/2014,426360
Kentucky,04/01/2014,841299
Louisiana,04/01/2014,1019672
Maine,04/01/2014,N/A
Maryland,04/01/2014,1132227
Massachusetts,04/01/2014,1460442
Michigan,04/01/2014,2094739
Minnesota,04/01/2014,1020155
Mississippi,04/01/2014,675984
Missouri,04/01/2014,806639
Montana,04/01/2014,158026
Nebraska,04/01/2014,240825
Nevada,04/01/2014,469110
New Hampshire,04/01/2014,136196
New Jersey,04/01/2014,1435827
New Mexico,04/01/2014,635321
New York,04/01/2014,6003065
North Carolina,04/01/2014,1778939
North Dakota,04/01/2014,N/A
Ohio,04/01/2014,2498526
Oklahoma,04/01/2014,796440
Oregon,04/01/2014,954194
Pennsylvania,04/01/2014,2428688
Rhode Island,04/01/2014,251470
South Carolina,04/01/2014,826936
South Dakota,04/01/2014,116248
Tennessee,04/01/2014,1319472
Texas,04/01/2014,4480564
Utah,04/01/2014,334985
Vermont,04/01/2014,174587
Virginia,04/01/2014,1070246
Washington,04/01/2014,1491833
West Virginia,04/01/2014,508496
Wisconsin,04/01/2014,1174176
Wyoming,04/01/2014,68279
United States,05/01/2014,66423553
Alabama,05/01/2014,765937
Alaska,05/01/2014,124912
Arizona,05/01/2014,1385940
Arkansas,05/01/2014,771680
California,05/01/2014,10800000
Colorado,05/01/2014,1067649
Connecticut,05/01/2014,724926
Delaware,05/01/2014,232630
District of Columbia,05/01/2014,243771
Florida,05/01/2014,3321856
Georgia,05/01/2014,1738777
Hawaii,05/01/2014,307944
Idaho,05/01/2014,274347
Illinois,05/01/2014,3035355
Indiana,05/01/2014,1189775
Iowa,05/01/2014,590005
Kansas,05/01/2014,406912
Kentucky,05/01/2014,1056728
Louisiana,05/01/2014,1024104
Maine,05/01/2014,303219
Maryland,05/01/2014,1145455
Massachusetts,05/01/2014,1462649
Michigan,05/01/2014,2168456
Minnesota,05/01/2014,1040153
Mississippi,05/01/2014,682053
Missouri,05/01/2014,802135
Montana,05/01/2014,171003
Nebraska,05/01/2014,239429
Nevada,05/01/2014,498101
New Hampshire,05/01/2014,136627
New Jersey,05/01/2014,1479707
New Mexico,05/01/2014,646229
New York,05/01/2014,6076698
North Carolina,05/01/2014,1824528
North Dakota,05/01/2014,N/A
Ohio,05/01/2014,2582303
Oklahoma,05/01/2014,793377
Oregon,05/01/2014,974520
Pennsylvania,05/01/2014,2415249
Rhode Island,05/01/2014,252475
South Carolina,05/01/2014,839502
South Dakota,05/01/2014,116099
Tennessee,05/01/2014,1329166
Texas,05/01/2014,4522040
Utah,05/01/2014,330828
Vermont,05/01/2014,173986
Virginia,05/01/2014,1075812
Washington,05/01/2014,1511913
West Virginia,05/01/2014,507329
Wisconsin,05/01/2014,1190832
Wyoming,05/01/2014,68432
United States,06/01/2014,67034080
Alabama,06/01/2014,836428
Alaska,06/01/2014,125558
Arizona,06/01/2014,1427080
Arkansas,06/01/2014,772337
California,06/01/2014,10900000
Colorado,06/01/2014,1088391
Connecticut,06/01/2014,735767
Delaware,06/01/2014,233471
District of Columbia,06/01/2014,246413
Florida,06/01/2014,3327915
Georgia,06/01/2014,1766387
Hawaii,06/01/2014,321230
Idaho,06/01/2014,275274
Illinois,06/01/2014,3003141
Indiana,06/01/2014,1201274
Iowa,06/01/2014,598873
Kansas,06/01/2014,404319
Kentucky,06/01/2014,1054115
Louisiana,06/01/2014,1033090
Maine,06/01/2014,299549
Maryland,06/01/2014,1156628
Massachusetts,06/01/2014,1469714
Michigan,06/01/2014,2198387
Minnesota,06/01/2014,1055689
Mississippi,06/01/2014,687967
Missouri,06/01/2014,808824
Montana,06/01/2014,168500
Nebraska,06/01/2014,238506
Nevada,06/01/2014,507572
New Hampshire,06/01/2014,137163
New Jersey,06/01/2014,1534404
New Mexico,06/01/2014,691524
New York,06/01/2014,6093172
North Carolina,06/01/2014,1809993
North Dakota,06/01/2014,N/A
Ohio,06/01/2014,2634261
Oklahoma,06/01/2014,797155
Oregon,06/01/2014,984878
Pennsylvania,06/01/2014,2403735
Rhode Island,06/01/2014,255612
South Carolina,06/01/2014,853352
South Dakota,06/01/2014,115927
Tennessee,06/01/2014,1339752
Texas,06/01/2014,4535706
Utah,06/01/2014,332542
Vermont,06/01/2014,188422
Virginia,06/01/2014,1080252
Washington,06/01/2014,1528973
West Virginia,06/01/2014,514188
Wisconsin,06/01/2014,1193576
Wyoming,06/01/2014,67094
United States,07/01/2014,67147446
Alabama,07/01/2014,868174
Alaska,07/01/2014,125254
Arizona,07/01/2014,1463723
Arkansas,07/01/2014,784335
California,07/01/2014,10900000
Colorado,07/01/2014,1106134
Connecticut,07/01/2014,749159
Delaware,07/01/2014,233706
District of Columbia,07/01/2014,250446
Florida,07/01/2014,3343988
Georgia,07/01/2014,1739141
Hawaii,07/01/2014,318838
Idaho,07/01/2014,283129
Illinois,07/01/2014,3021195
Indiana,07/01/2014,1211125
Iowa,07/01/2014,565593
Kansas,07/01/2014,401980
Kentucky,07/01/2014,1048285
Louisiana,07/01/2014,1037136
Maine,07/01/2014,296206
Maryland,07/01/2014,1151270
Massachusetts,07/01/2014,1476184
Michigan,07/01/2014,2218845
Minnesota,07/01/2014,1068305
Mississippi,07/01/2014,693425
Missouri,07/01/2014,812785
Montana,07/01/2014,163551
Nebraska,07/01/2014,238609
Nevada,07/01/2014,527929
New Hampshire,07/01/2014,137934
New Jersey,07/01/2014,1562483
New Mexico,07/01/2014,705128
New York,07/01/2014,6143909
North Carolina,07/01/2014,1737117
North Dakota,07/01/2014,79076
Ohio,07/01/2014,2708484
Oklahoma,07/01/2014,803577
Oregon,07/01/2014,997762
Pennsylvania,07/01/2014,2417392
Rhode Island,07/01/2014,259183
South Carolina,07/01/2014,868487
South Dakota,07/01/2014,116174
Tennessee,07/01/2014,1352243
Texas,07/01/2014,4575968
Utah,07/01/2014,301311
Vermont,07/01/2014,208699
Virginia,07/01/2014,937493
Washington,07/01/2014,1542789
West Virginia,07/01/2014,519672
Wisconsin,07/01/2014,1006257
Wyoming,07/01/2014,67858
United States,08/01/2014,67927806
Alabama,08/01/2014,874551
Alaska,08/01/2014,126513
Arizona,08/01/2014,1489607
Arkansas,08/01/2014,803693
California,08/01/2014,11200000
Colorado,08/01/2014,1131923
Connecticut,08/01/2014,757528
Delaware,08/01/2014,231812
District of Columbia,08/01/2014,252914
Florida,08/01/2014,3350729
Georgia,08/01/2014,1745920
Hawaii,08/01/2014,298140
Idaho,08/01/2014,280617
Illinois,08/01/2014,3082114
Indiana,08/01/2014,1212636
Iowa,08/01/2014,563292
Kansas,08/01/2014,400994
Kentucky,08/01/2014,1046381
Louisiana,08/01/2014,1047854
Maine,08/01/2014,294705
Maryland,08/01/2014,1147597
Massachusetts,08/01/2014,1483652
Michigan,08/01/2014,2186264
Minnesota,08/01/2014,1171508
Mississippi,08/01/2014,697080
Missouri,08/01/2014,816544
Montana,08/01/2014,166593
Nebraska,08/01/2014,241630
Nevada,08/01/2014,543307
New Hampshire,08/01/2014,148889
New Jersey,08/01/2014,1606314
New Mexico,08/01/2014,731027
New York,08/01/2014,6172249
North Carolina,08/01/2014,1729339
North Dakota,08/01/2014,79960
Ohio,08/01/2014,2743475
Oklahoma,08/01/2014,808713
Oregon,08/01/2014,1009582
Pennsylvania,08/01/2014,2415249
Rhode Island,08/01/2014,260615
South Carolina,08/01/2014,879297
South Dakota,08/01/2014,115993
Tennessee,08/01/2014,1366420
Texas,08/01/2014,4606339
Utah,08/01/2014,301357
Vermont,08/01/2014,206957
Virginia,08/01/2014,936549
Washington,08/01/2014,1560572
West Virginia,08/01/2014,527758
Wisconsin,08/01/2014,1007557
Wyoming,08/01/2014,67497
United States,09/01/2014,68408525
Alabama,09/01/2014,871500
Alaska,09/01/2014,126202
Arizona,09/01/2014,1506212
Arkansas,09/01/2014,810511
California,09/01/2014,11300000
Colorado,09/01/2014,1143461
Connecticut,09/01/2014,762749
Delaware,09/01/2014,230288
District of Columbia,09/01/2014,254246
Florida,09/01/2014,3377384
Georgia,09/01/2014,1775102
Hawaii,09/01/2014,289409
Idaho,09/01/2014,285825
Illinois,09/01/2014,3098603
Indiana,09/01/2014,1218617
Iowa,09/01/2014,568568
Kansas,09/01/2014,400995
Kentucky,09/01/2014,1022257
Louisiana,09/01/2014,1050331
Maine,09/01/2014,293533
Maryland,09/01/2014,1151866
Massachusetts,09/01/2014,1488379
Michigan,09/01/2014,2189067
Minnesota,09/01/2014,1166649
Mississippi,09/01/2014,702514
Missouri,09/01/2014,827764
Montana,09/01/2014,166232
Nebraska,09/01/2014,242454
Nevada,09/01/2014,551004
New Hampshire,09/01/2014,154953
New Jersey,09/01/2014,1618656
New Mexico,09/01/2014,742582
New York,09/01/2014,6192749
North Carolina,09/01/2014,1738250
North Dakota,09/01/2014,80834
Ohio,09/01/2014,2782379
Oklahoma,09/01/2014,808370
Oregon,09/01/2014,1023970
Pennsylvania,09/01/2014,2417990
Rhode Island,09/01/2014,259885
South Carolina,09/01/2014,886704
South Dakota,09/01/2014,115926
Tennessee,09/01/2014,1385737
Texas,09/01/2014,4683930
Utah,09/01/2014,294512
Vermont,09/01/2014,180957
Virginia,09/01/2014,959059
Washington,09/01/2014,1578542
West Virginia,09/01/2014,529007
Wisconsin,09/01/2014,1031081
Wyoming,09/01/2014,70730
United States,10/01/2014,68944587
Alabama,10/01/2014,873284
Alaska,10/01/2014,128229
Arizona,10/01/2014,1494777
Arkansas,10/01/2014,815675
California,10/01/2014,11500000
Colorado,10/01/2014,1149936
Connecticut,10/01/2014,767157
Delaware,10/01/2014,230680
District of Columbia,10/01/2014,255707
Florida,10/01/2014,3375405
Georgia,10/01/2014,1769564
Hawaii,10/01/2014,294507
Idaho,10/01/2014,286595
Illinois,10/01/2014,3104134
Indiana,10/01/2014,1222581
Iowa,10/01/2014,569181
Kansas,10/01/2014,400646
Kentucky,10/01/2014,1040548
Louisiana,10/01/2014,1051248
Maine,10/01/2014,291930
Maryland,10/01/2014,1101741
Massachusetts,10/01/2014,1502911
Michigan,10/01/2014,2190472
Minnesota,10/01/2014,1178473
Mississippi,10/01/2014,705942
Missouri,10/01/2014,843692
Montana,10/01/2014,164585
Nebraska,10/01/2014,242084
Nevada,10/01/2014,558934
New Hampshire,10/01/2014,158347
New Jersey,10/01/2014,1645149
New Mexico,10/01/2014,748832
New York,10/01/2014,6209648
North Carolina,10/01/2014,1737525
North Dakota,10/01/2014,82014
Ohio,10/01/2014,2838379
Oklahoma,10/01/2014,811979
Oregon,10/01/2014,1039921
Pennsylvania,10/01/2014,2420980
Rhode Island,10/01/2014,262088
South Carolina,10/01/2014,1000942
South Dakota,10/01/2014,116100
Tennessee,10/01/2014,1395240
Texas,10/01/2014,4712958
Utah,10/01/2014,300681
Vermont,10/01/2014,184867
Virginia,10/01/2014,941791
Washington,10/01/2014,1590657
West Virginia,10/01/2014,529725
Wisconsin,10/01/2014,1034850
Wyoming,10/01/2014,71296
United States,11/01/2014,69212472
Alabama,11/01/2014,875167
Alaska,11/01/2014,127718
Arizona,11/01/2014,1500272
Arkansas,11/01/2014,825246
California,11/01/2014,11790244
Colorado,11/01/2014,1158106
Connecticut,11/01/2014,763836
Delaware,11/01/2014,232532
District of Columbia,11/01/2014,255585
Florida,11/01/2014,3355628
Georgia,11/01/2014,1770105
Hawaii,11/01/2014,299984
Idaho,11/01/2014,286950
Illinois,11/01/2014,3114643
Indiana,11/01/2014,1214757
Iowa,11/01/2014,570048
Kansas,11/01/2014,400586
Kentucky,11/01/2014,1044953
Louisiana,11/01/2014,1050038
Maine,11/01/2014,289051
Maryland,11/01/2014,1109972
Massachusetts,11/01/2014,1536421
Michigan,11/01/2014,2238267
Minnesota,11/01/2014,1191456
Mississippi,11/01/2014,709861
Missouri,11/01/2014,852435
Montana,11/01/2014,161575
Nebraska,11/01/2014,239761
Nevada,11/01/2014,550209
New Hampshire,11/01/2014,160867
New Jersey,11/01/2014,1658117
New Mexico,11/01/2014,680572
New York,11/01/2014,6232692
North Carolina,11/01/2014,1791054
North Dakota,11/01/2014,82253
Ohio,11/01/2014,2867859
Oklahoma,11/01/2014,808973
Oregon,11/01/2014,1037616
Pennsylvania,11/01/2014,2406729
Rhode Island,11/01/2014,263265
South Carolina,11/01/2014,996537
South Dakota,11/01/2014,116333
Tennessee,11/01/2014,1409230
Texas,11/01/2014,4703774
Utah,11/01/2014,297560
Vermont,11/01/2014,N/A
Virginia,11/01/2014,958644
Washington,11/01/2014,1600061
West Virginia,11/01/2014,523254
Wisconsin,11/01/2014,1031888
Wyoming,11/01/2014,69788
United States,12/01/2014,69919366
Alabama,12/01/2014,876485
Alaska,12/01/2014,127888
Arizona,12/01/2014,1496616
Arkansas,12/01/2014,824682
California,12/01/2014,11919314
Colorado,12/01/2014,1183251
Connecticut,12/01/2014,760584
Delaware,12/01/2014,235047
District of Columbia,12/01/2014,256282
Florida,12/01/2014,3373853
Georgia,12/01/2014,1749519
Hawaii,12/01/2014,308567
Idaho,12/01/2014,271992
Illinois,12/01/2014,3126814
Indiana,12/01/2014,1216683
Iowa,12/01/2014,572104
Kansas,12/01/2014,400885
Kentucky,12/01/2014,1073384
Louisiana,12/01/2014,1044151
Maine,12/01/2014,287807
Maryland,12/01/2014,1143810
Massachusetts,12/01/2014,1586233
Michigan,12/01/2014,2253958
Minnesota,12/01/2014,1213607
Mississippi,12/01/2014,714084
Missouri,12/01/2014,855487
Montana,12/01/2014,167328
Nebraska,12/01/2014,240058
Nevada,12/01/2014,548377
New Hampshire,12/01/2014,167330
New Jersey,12/01/2014,1672822
New Mexico,12/01/2014,687942
New York,12/01/2014,6300006
North Carolina,12/01/2014,1821459
North Dakota,12/01/2014,86120
Ohio,12/01/2014,2900815
Oklahoma,12/01/2014,799478
Oregon,12/01/2014,1036190
Pennsylvania,12/01/2014,2403656
Rhode Island,12/01/2014,263426
South Carolina,12/01/2014,995296
South Dakota,12/01/2014,116878
Tennessee,12/01/2014,1425497
Texas,12/01/2014,4704853
Utah,12/01/2014,298773
Vermont,12/01/2014,177819
Virginia,12/01/2014,958583
Washington,12/01/2014,1644648
West Virginia,12/01/2014,522491
Wisconsin,12/01/2014,1034899
Wyoming,12/01/2014,71535
United States,01/01/2015,70379483
Alabama,01/01/2015,843250
Alaska,01/01/2015,125747
Arizona,01/01/2015,1482316
Arkansas,01/01/2015,824529
California,01/01/2015,12170138
Colorado,01/01/2015,1197542
Connecticut,01/01/2015,733590
Delaware,01/01/2015,235775
District of Columbia,01/01/2015,256383
Florida,01/01/2015,3404156
Georgia,01/01/2015,1765025
Hawaii,01/01/2015,314805
Idaho,01/01/2015,273329
Illinois,01/01/2015,3151683
Indiana,01/01/2015,1220212
Iowa,01/01/2015,569676
Kansas,01/01/2015,404608
Kentucky,01/01/2015,1099327
Louisiana,01/01/2015,1053090
Maine,01/01/2015,286917
Maryland,01/01/2015,1166594
Massachusetts,01/01/2015,1639502
Michigan,01/01/2015,2275118
Minnesota,01/01/2015,1041975
Mississippi,01/01/2015,718683
Missouri,01/01/2015,863651
Montana,01/01/2015,170740
Nebraska,01/01/2015,240735
Nevada,01/01/2015,541334
New Hampshire,01/01/2015,169747
New Jersey,01/01/2015,1667815
New Mexico,01/01/2015,687829
New York,01/01/2015,6338780
North Carolina,01/01/2015,1844304
North Dakota,01/01/2015,86220
Ohio,01/01/2015,2928588
Oklahoma,01/01/2015,808807
Oregon,01/01/2015,1053113
Pennsylvania,01/01/2015,2493851
Rhode Island,01/01/2015,267466
South Carolina,01/01/2015,983275
South Dakota,01/01/2015,117687
Tennessee,01/01/2015,1440143
Texas,01/01/2015,4699323
Utah,01/01/2015,301688
Vermont,01/01/2015,179862
Virginia,01/01/2015,959186
Washington,01/01/2015,1645727
West Virginia,01/01/2015,524569
Wisconsin,01/01/2015,1042496
Wyoming,01/01/2015,68577
United States,02/01/2015,70946607
Alabama,02/01/2015,835370
Alaska,02/01/2015,125881
Arizona,02/01/2015,1497026
Arkansas,02/01/2015,831643
California,02/01/2015,12189535
Colorado,02/01/2015,1227656
Connecticut,02/01/2015,722571
Delaware,02/01/2015,237445
District of Columbia,02/01/2015,256751
Florida,02/01/2015,3436875
Georgia,02/01/2015,1761990
Hawaii,02/01/2015,319394
Idaho,02/01/2015,275757
Illinois,02/01/2015,3199540
Indiana,02/01/2015,1233668
Iowa,02/01/2015,576882
Kansas,02/01/2015,405431
Kentucky,02/01/2015,1121730
Louisiana,02/01/2015,1061494
Maine,02/01/2015,286625
Maryland,02/01/2015,1185960
Massachusetts,02/01/2015,1680800
Michigan,02/01/2015,2321251
Minnesota,02/01/2015,1049142
Mississippi,02/01/2015,720330
Missouri,02/01/2015,875879
Montana,02/01/2015,172936
Nebraska,02/01/2015,241805
Nevada,02/01/2015,556008
New Hampshire,02/01/2015,173286
New Jersey,02/01/2015,1692754
New Mexico,02/01/2015,691895
New York,02/01/2015,6400003
North Carolina,02/01/2015,1847000
North Dakota,02/01/2015,87956
Ohio,02/01/2015,2953995
Oklahoma,02/01/2015,811378
Oregon,02/01/2015,1083050
Pennsylvania,02/01/2015,2474050
Rhode Island,02/01/2015,272257
South Carolina,02/01/2015,979282
South Dakota,02/01/2015,118470
Tennessee,02/01/2015,1453646
Texas,02/01/2015,4706456
Utah,02/01/2015,305121
Vermont,02/01/2015,182109
Virginia,02/01/2015,968708
Washington,02/01/2015,1689353
West Virginia,02/01/2015,526778
Wisconsin,02/01/2015,1053400
Wyoming,02/01/2015,68285
United States,03/01/2015,71409679
Alabama,03/01/2015,863391
Alaska,03/01/2015,126603
Arizona,03/01/2015,1516700
Arkansas,03/01/2015,831098
California,03/01/2015,12248555
Colorado,03/01/2015,1241692
Connecticut,03/01/2015,726253
Delaware,03/01/2015,238621
District of Columbia,03/01/2015,255519
Florida,03/01/2015,3482379
Georgia,03/01/2015,1769145
Hawaii,03/01/2015,320744
Idaho,03/01/2015,277968
Illinois,03/01/2015,3198477
Indiana,03/01/2015,1264642
Iowa,03/01/2015,586626
Kansas,03/01/2015,406312
Kentucky,03/01/2015,1140261
Louisiana,03/01/2015,1071413
Maine,03/01/2015,284206
Maryland,03/01/2015,1194697
Massachusetts,03/01/2015,1710122
Michigan,03/01/2015,2342079
Minnesota,03/01/2015,1053357
Mississippi,03/01/2015,719290
Missouri,03/01/2015,893452
Montana,03/01/2015,174145
Nebraska,03/01/2015,243082
Nevada,03/01/2015,550816
New Hampshire,03/01/2015,174908
New Jersey,03/01/2015,1699114
New Mexico,03/01/2015,697425
New York,03/01/2015,6414843
North Carolina,03/01/2015,1847722
North Dakota,03/01/2015,89143
Ohio,03/01/2015,2951420
Oklahoma,03/01/2015,808307
Oregon,03/01/2015,1100014
Pennsylvania,03/01/2015,2539514
Rhode Island,03/01/2015,272711
South Carolina,03/01/2015,983208
South Dakota,03/01/2015,118794
Tennessee,03/01/2015,1465364
Texas,03/01/2015,4700214
Utah,03/01/2015,307777
Vermont,03/01/2015,184843
Virginia,03/01/2015,967813
Washington,03/01/2015,1693603
West Virginia,03/01/2015,527957
Wisconsin,03/01/2015,1063425
Wyoming,03/01/2015,69915
United States,04/01/2015,71594742
Alabama,04/01/2015,866766
Alaska,04/01/2015,126496
Arizona,04/01/2015,1533005
Arkansas,04/01/2015,841445
California,04/01/2015,12358742
Colorado,04/01/2015,1252298
Connecticut,04/01/2015,730612
Delaware,04/01/2015,238939
District of Columbia,04/01/2015,255861
Florida,04/01/2015,3486469
Georgia,04/01/2015,1777657
Hawaii,04/01/2015,325829
Idaho,04/01/2015,278919
Illinois,04/01/2015,3199502
Indiana,04/01/2015,1298274
Iowa,04/01/2015,593387
Kansas,04/01/2015,429376
Kentucky,04/01/2015,1154907
Louisiana,04/01/2015,1067150
Maine,04/01/2015,283760
Maryland,04/01/2015,1132404
Massachusetts,04/01/2015,1584958
Michigan,04/01/2015,2337689
Minnesota,04/01/2015,1042882
Mississippi,04/01/2015,718376
Missouri,04/01/2015,908242
Montana,04/01/2015,175583
Nebraska,04/01/2015,240750
Nevada,04/01/2015,554010
New Hampshire,04/01/2015,176706
New Jersey,04/01/2015,1778578
New Mexico,04/01/2015,700777
New York,04/01/2015,6447183
North Carolina,04/01/2015,1844841
North Dakota,04/01/2015,89723
Ohio,04/01/2015,2884271
Oklahoma,04/01/2015,816631
Oregon,04/01/2015,1103857
Pennsylvania,04/01/2015,2580588
Rhode Island,04/01/2015,274271
South Carolina,04/01/2015,984472
South Dakota,04/01/2015,118787
Tennessee,04/01/2015,1476208
Texas,04/01/2015,4676724
Utah,04/01/2015,309453
Vermont,04/01/2015,186261
Virginia,04/01/2015,975807
Washington,04/01/2015,1710245
West Virginia,04/01/2015,534495
Wisconsin,04/01/2015,1059834
Wyoming,04/01/2015,70742
United States,05/01/2015,71990204
Alabama,05/01/2015,890291
Alaska,05/01/2015,126766
Arizona,05/01/2015,1557193
Arkansas,05/01/2015,832510
California,05/01/2015,12549540
Colorado,05/01/2015,1261496
Connecticut,05/01/2015,741517
Delaware,05/01/2015,239426
District of Columbia,05/01/2015,255268
Florida,05/01/2015,3496934
Georgia,05/01/2015,1783631
Hawaii,05/01/2015,328623
Idaho,05/01/2015,278439
Illinois,05/01/2015,3181783
Indiana,05/01/2015,1304480
Iowa,05/01/2015,594966
Kansas,05/01/2015,409002
Kentucky,05/01/2015,1126049
Louisiana,05/01/2015,1069712
Maine,05/01/2015,281443
Maryland,05/01/2015,1122043
Massachusetts,05/01/2015,1614778
Michigan,05/01/2015,2339905
Minnesota,05/01/2015,1034043
Mississippi,05/01/2015,715364
Missouri,05/01/2015,918825
Montana,05/01/2015,176326
Nebraska,05/01/2015,239586
Nevada,05/01/2015,559165
New Hampshire,05/01/2015,176108
New Jersey,05/01/2015,1784286
New Mexico,05/01/2015,705730
New York,05/01/2015,6462149
North Carolina,05/01/2015,1942767
North Dakota,05/01/2015,89001
Ohio,05/01/2015,2902768
Oklahoma,05/01/2015,819194
Oregon,05/01/2015,1090520
Pennsylvania,05/01/2015,2609873
Rhode Island,05/01/2015,272291
South Carolina,05/01/2015,997996
South Dakota,05/01/2015,118581
Tennessee,05/01/2015,1487578
Texas,05/01/2015,4660912
Utah,05/01/2015,309073
Vermont,05/01/2015,186413
Virginia,05/01/2015,975437
Washington,05/01/2015,1717073
West Virginia,05/01/2015,533191
Wisconsin,05/01/2015,1052820
Wyoming,05/01/2015,67339
United States,06/01/2015,72454815
Alabama,06/01/2015,878932
Alaska,06/01/2015,126985
Arizona,06/01/2015,1589457
Arkansas,06/01/2015,820769
California,06/01/2015,12627234
Colorado,06/01/2015,1263461
Connecticut,06/01/2015,760758
Delaware,06/01/2015,240302
District of Columbia,06/01/2015,255352
Florida,06/01/2015,3523843
Georgia,06/01/2015,1785957
Hawaii,06/01/2015,331168
Idaho,06/01/2015,277538
Illinois,06/01/2015,3163838
Indiana,06/01/2015,1341018
Iowa,06/01/2015,597300
Kansas,06/01/2015,405613
Kentucky,06/01/2015,1117207
Louisiana,06/01/2015,1072982
Maine,06/01/2015,283399
Maryland,06/01/2015,1189192
Massachusetts,06/01/2015,1642613
Michigan,06/01/2015,2334621
Minnesota,06/01/2015,1029724
Mississippi,06/01/2015,712828
Missouri,06/01/2015,926289
Montana,06/01/2015,177652
Nebraska,06/01/2015,237498
Nevada,06/01/2015,563484
New Hampshire,06/01/2015,181243
New Jersey,06/01/2015,1790621
New Mexico,06/01/2015,711541
New York,06/01/2015,6479343
North Carolina,06/01/2015,2000049
North Dakota,06/01/2015,88820
Ohio,06/01/2015,2988691
Oklahoma,06/01/2015,815810
Oregon,06/01/2015,1064251
Pennsylvania,06/01/2015,2642887
Rhode Island,06/01/2015,274674
South Carolina,06/01/2015,1009201
South Dakota,06/01/2015,118429
Tennessee,06/01/2015,1498455
Texas,06/01/2015,4672896
Utah,06/01/2015,308627
Vermont,06/01/2015,184594
Virginia,06/01/2015,978672
Washington,06/01/2015,1717320
West Virginia,06/01/2015,538601
Wisconsin,06/01/2015,1047631
Wyoming,06/01/2015,65445
United States,07/01/2015,72672694
Alabama,07/01/2015,891912
Alaska,07/01/2015,127401
Arizona,07/01/2015,1595617
Arkansas,07/01/2015,823741
California,07/01/2015,12648637
Colorado,07/01/2015,1274849
Connecticut,07/01/2015,754054
Delaware,07/01/2015,241749
District of Columbia,07/01/2015,255660
Florida,07/01/2015,3558092
Georgia,07/01/2015,1781537
Hawaii,07/01/2015,332027
Idaho,07/01/2015,278268
Illinois,07/01/2015,3162522
Indiana,07/01/2015,1389519
Iowa,07/01/2015,599305
Kansas,07/01/2015,398007
Kentucky,07/01/2015,1119198
Louisiana,07/01/2015,1075652
Maine,07/01/2015,280241
Maryland,07/01/2015,1179937
Massachusetts,07/01/2015,1649423
Michigan,07/01/2015,2352127
Minnesota,07/01/2015,1028161
Mississippi,07/01/2015,709510
Missouri,07/01/2015,932026
Montana,07/01/2015,176714
Nebraska,07/01/2015,237243
Nevada,07/01/2015,566017
New Hampshire,07/01/2015,184266
New Jersey,07/01/2015,1789264
New Mexico,07/01/2015,717189
New York,07/01/2015,6512137
North Carolina,07/01/2015,1982496
North Dakota,07/01/2015,88719
Ohio,07/01/2015,2988934
Oklahoma,07/01/2015,821867
Oregon,07/01/2015,1055685
Pennsylvania,07/01/2015,2665455
Rhode Island,07/01/2015,277232
South Carolina,07/01/2015,999438
South Dakota,07/01/2015,118715
Tennessee,07/01/2015,1512658
Texas,07/01/2015,4678394
Utah,07/01/2015,310273
Vermont,07/01/2015,185991
Virginia,07/01/2015,980591
Washington,07/01/2015,1728834
West Virginia,07/01/2015,542077
Wisconsin,07/01/2015,1048817
Wyoming,07/01/2015,64516
United States,08/01/2015,72824063
Alabama,08/01/2015,894636
Alaska,08/01/2015,128082
Arizona,08/01/2015,1638478
Arkansas,08/01/2015,810225
California,08/01/2015,12621763
Colorado,08/01/2015,1285671
Connecticut,08/01/2015,718873
Delaware,08/01/2015,242551
District of Columbia,08/01/2015,256270
Florida,08/01/2015,3587050
Georgia,08/01/2015,1783213
Hawaii,08/01/2015,336511
Idaho,08/01/2015,279747
Illinois,08/01/2015,3152485
Indiana,08/01/2015,1415294
Iowa,08/01/2015,604957
